municipality,year,week,season,ndvi,evi,temperature,temperature_max,temperature_min,rainfall_total,humidity,solar_radiation,wind_speed
Malinao,2016,38,Wet,0.6195269614619856,0.455836456110408,27.64142857,28.03,27.0,76.66,84.63,18.06428571428572,2.6700000000000004
Malinao,2016,39,Wet,0.623083290009294,0.4209914737701154,27.31,27.79,26.47,79.33,84.00857142857141,15.055714285714286,3.8085714285714287
Malinao,2016,40,Cool Dry,0.6864799498088323,0.4522492179438143,27.26142857,28.03,26.72,80.28,83.54285714285713,14.43142857142857,2.164285714285714
Malinao,2016,41,Cool Dry,0.710611954961534,0.5260346059642499,27.16142857,27.63,26.65,295.23,85.58857142857143,12.855714285714289,4.48
Malinao,2016,42,Cool Dry,0.762392294188085,0.4598368556611837,27.30142857,27.56,26.97,34.599999999999994,86.53,16.884285714285713,3.855714285714286
Malinao,2016,44,Cool Dry,0.6994697621592553,0.4390106804932399,27.49142857,27.75,27.23,117.96,86.24285714285715,14.23,4.37
Malinao,2016,45,Cool Dry,0.742337751058183,0.4831136361168854,26.42714286,27.03,26.0,19.6,79.41571428571429,16.669999999999998,5.12
Malinao,2016,46,Cool Dry,0.728792287568484,0.4529497072037711,27.20714286,27.41,26.97,130.53,87.39571428571428,12.558571428571428,4.41
Malinao,2016,47,Cool Dry,0.7479095107284727,0.4562361052795481,27.05857143,27.22,26.93,54.33,84.5942857142857,15.13,5.2700000000000005
Malinao,2016,48,Dry,0.6373101333839188,0.3326055825781889,26.67142857,27.12,26.34,146.39,87.16285714285713,12.588571428571427,3.94
Malinao,2016,49,Dry,0.7576850993015899,0.4160475382484198,26.30714286,27.07,25.72,253.66,87.58285714285715,10.081428571428573,4.96
Malinao,2016,50,Dry,0.6603562509536072,0.3766200369937025,26.45285714,26.51,26.38,103.9,85.35714285714286,11.86285714285714,6.518571428571428
Malinao,2016,52,Dry,0.5530871316378108,0.3326045528042688,26.685,26.86,26.51,46.07,87.54833333333333,14.228333333333332,5.008333333333334
Malinao,2017,52,Dry,0.4303674656485178,0.2621223910726671,26.16428571,26.73,25.72,66.01,83.91142857142857,12.175714285714289,5.97
Malinao,2017,2,Dry,0.669284866188797,0.4002992839191563,25.12857143,25.91,24.58,161.44,84.89571428571428,10.73857142857143,6.725714285714285
Malinao,2017,3,Dry,0.6572221228125027,0.3722221552084222,25.21571429,25.82,24.69,49.41,82.22428571428573,14.52,6.715714285714285
Malinao,2017,4,Dry,0.6792517316433592,0.3821952263053081,25.66285714,26.31,24.84,76.47,86.29714285714286,14.572857142857142,5.107142857142857
Malinao,2017,5,Dry,0.6999380986218745,0.4189140255165595,24.58428571,25.41,23.22,18.12,80.68571428571428,18.17142857142857,6.532857142857142
Malinao,2017,6,Dry,0.438976236468366,0.2864532840657444,24.40857143,25.63,23.03,51.27,81.98285714285714,15.491428571428573,6.691428571428571
Malinao,2017,7,Dry,0.7825951449412568,0.4876088958126303,25.64285714,26.02,25.44,45.85,86.38714285714286,18.514285714285712,4.408571428571428
Malinao,2017,8,Dry,0.715770505562878,0.4695180865389023,25.60285714,26.0,25.28,48.09,81.7042857142857,20.06,5.224285714285714
Malinao,2017,10,Hot Dry,0.7491995745522413,0.4873308093756591,25.38857143,26.15,24.8,50.58,82.5257142857143,18.90571428571429,5.252857142857143
Malinao,2017,11,Hot Dry,0.7364072972391318,0.4989602940709192,25.71857143,26.36,25.16,84.39999999999999,82.33285714285714,17.194285714285716,4.564285714285715
Malinao,2017,12,Hot Dry,0.7213713370037359,0.5205359209976932,26.44714286,26.87,25.52,42.46,84.97285714285715,21.42,3.452857142857144
Malinao,2017,13,Hot Dry,0.6628678106097973,0.5123618308328248,26.10285714,26.3,25.85,50.21,83.00714285714285,18.212857142857143,5.442857142857143
Malinao,2017,14,Hot Dry,0.6784497407579864,0.4666596383443287,25.97857143,26.81,25.01,30.65,83.34,18.562857142857144,5.374285714285714
Malinao,2017,15,Hot Dry,0.710504049900416,0.4497505907220736,27.09857143,27.45,26.16,37.95,80.99000000000001,21.860000000000003,4.168571428571428
Malinao,2017,16,Hot Dry,0.6938021571942887,0.4313733083330689,27.84714286,28.25,27.42,4.37,76.02857142857144,24.32857142857143,2.8457142857142856
Malinao,2017,18,Hot Dry,0.6184798625654205,0.4460847756677481,28.25571429,28.48,27.94,31.07,80.75142857142858,21.502857142857145,4.234285714285714
Malinao,2017,19,Hot Dry,0.7051499131348354,0.3739736329289202,28.62285714,29.2,28.24,45.87,80.41,21.22142857142857,2.4385714285714286
Malinao,2017,20,Hot Dry,0.5966746469799622,0.445313046115768,28.45857143,29.05,27.96,52.01,81.49571428571429,18.762857142857143,2.244285714285714
Malinao,2017,21,Hot Dry,0.6302626511233803,0.4310848897081674,28.96857143,29.21,28.69,6.959999999999999,81.05285714285715,23.08,2.642857142857143
Malinao,2017,22,Wet,0.6535494249904736,0.3985399225153927,28.22285714,29.35,27.53,62.72,82.4557142857143,16.56,2.9185714285714286
Malinao,2017,23,Wet,0.7299416296512006,0.4842423028066381,28.65857143,29.42,28.05,8.11,78.17,23.98,2.3057142857142856
Malinao,2017,24,Wet,0.7453767452617724,0.2901288597579339,28.44142857,28.84,27.64,26.61,77.36428571428571,22.027142857142856,2.084285714285714
Malinao,2017,26,Wet,0.5634620766236473,0.3529845005673157,28.10571429,28.55,27.64,50.01,78.41428571428571,19.148571428571422,1.89
Malinao,2017,27,Wet,0.6361269988614844,0.4754212654402256,27.50571429,27.77,27.31,68.35,82.12571428571428,15.604285714285714,2.8228571428571425
Malinao,2017,28,Wet,0.4107039869735037,0.3134580208587472,27.68,28.48,27.28,92.39,79.01714285714286,17.622857142857143,1.9314285714285715
Malinao,2017,29,Wet,0.5006923014824974,0.365105279921362,27.32142857,27.79,26.97,115.72,83.21428571428571,14.578571428571427,2.825714285714286
Malinao,2017,30,Wet,0.6972247841646727,0.494203961510279,28.01857143,28.55,27.54,26.7,84.46142857142857,20.08,4.097142857142857
Malinao,2017,31,Wet,0.8186899004992312,0.5203872176269186,28.40142857,28.79,27.71,28.49,80.33571428571429,21.81571428571429,2.15
